# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /media/psf/Dropbox/altera/VHDL/LOGBAS/lobdas.csv
# Generated on: Tue Jul 21 16:28:14 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair,Strict Preservation,Weak Pull-Up Resistor
DSDD,Input,PIN_99,2,PIN_99,3.3-V LVTTL,,,,,on
DSDF,Input,PIN_98,2,PIN_98,3.3-V LVTTL,,,,,on
DSDON,Input,PIN_56,2,PIN_56,3.3-V LVCMOS,,,,,
DSDPATH,Input,PIN_84,2,PIN_84,3.3-V LVTTL,,,,,on
DSDSEL0,Input,PIN_91,2,PIN_91,3.3-V LVTTL,,,,,on
DSDSEL1,Input,PIN_92,2,PIN_92,3.3-V LVTTL,,,,,on
ESPRST,Output,PIN_75,2,PIN_75,3.3-V LVTTL,,,,,
F[3],Input,PIN_68,2,PIN_68,3.3-V LVCMOS,,,,,
F[2],Input,PIN_67,2,PIN_67,3.3-V LVCMOS,,,,,
F[1],Input,PIN_66,2,PIN_66,3.3-V LVCMOS,,,,,
F[0],Input,PIN_57,2,PIN_57,3.3-V LVCMOS,,,,,
GC0,Input,PIN_82,2,PIN_82,3.3-V LVTTL,,,,,on
GC1,Input,PIN_83,2,PIN_83,3.3-V LVTTL,,,,,on
INSEL[1],Input,PIN_73,2,PIN_73,3.3-V LVTTL,,,,,on
INSEL[0],Input,PIN_72,2,PIN_72,3.3-V LVTTL,,,,,on
LRCK1,Output,PIN_27,1,PIN_27,3.3-V LVTTL,,,,,
LRCK2,Output,PIN_43,1,PIN_43,3.3-V LVTTL,,,,,
LRCK_ESP,Output,PIN_61,2,PIN_61,3.3-V LVTTL,,,,,
MCLK1,Output,PIN_34,1,PIN_34,3.3-V LVTTL,,,,,
MCLK2,Output,PIN_52,2,PIN_52,3.3-V LVTTL,,,,,
MONO0,Input,PIN_96,2,PIN_96,3.3-V LVTTL,,,,,on
MONO1,Input,PIN_97,2,PIN_97,3.3-V LVTTL,,,,,on
OPT0,Input,PIN_17,1,PIN_17,3.3-V LVTTL,,,,,
OPT1,Input,PIN_26,1,PIN_26,3.3-V LVTTL,,,,,
PLUGED,Input,PIN_42,1,PIN_42,3.3-V LVTTL,,,,,
RJ4_BCLK,Input,PIN_19,1,PIN_19,3.3-V LVTTL,,,,,on
RJ4_DATA,Input,PIN_18,1,PIN_18,3.3-V LVTTL,,,,,on
RJ4_LRCK,Input,PIN_20,1,PIN_20,3.3-V LVTTL,,,,,on
RJ4_MCLK,Input,PIN_21,1,PIN_21,3.3-V LVTTL,,,,,on
RJ45_MUTE,Input,PIN_16,1,PIN_16,3.3-V LVTTL,,,,,
RSV1,Output,PIN_35,1,PIN_35,3.3-V LVTTL,,,,,
RSV2,Output,PIN_36,1,PIN_36,3.3-V LVTTL,,,,,
scl_in,Input,PIN_2,1,PIN_2,3.3-V LVCMOS,,,,,
scl_out,Output,,,PIN_87,3.3-V LVTTL,,,,,
sda,Bidir,PIN_3,1,PIN_3,3.3-V LVCMOS,,,,,
sda_out,Output,,,PIN_1,,,,,,on
TP1,Input,PIN_71,2,PIN_71,3.3-V LVTTL,,,,,
TP2,Input,PIN_70,2,PIN_70,3.3-V LVTTL,,,,,
USB_BCLK,Input,PIN_50,1,PIN_50,3.3-V LVCMOS,,,,,on
USB_DATA,Input,PIN_49,1,PIN_49,3.3-V LVCMOS,,,,,on
USB_LRCK,Input,PIN_53,2,PIN_53,3.3-V LVCMOS,,,,,on
USB_MCLK,Input,PIN_55,2,PIN_55,3.3-V LVCMOS,,,,,on
USB_MUTE,Input,PIN_41,1,PIN_41,3.3-V LVCMOS,,,,,
XRST,Input,PIN_44,1,PIN_44,3.3-V LVTTL,,,,,
